term,rank
privacy policy,0.36268013533462146
personal information,0.3173451184177938
third party,0.21156341227852918
may also,0.1662283953617015
use platform,0.12089337844487381
service providers,0.10578170613926459
use services,0.10578170613926459
platform use,0.09067003383365536
use information,0.09067003383365536
also collect,0.09067003383365536
may use,0.09067003383365536
information third,0.09067003383365536
third parties,0.09067003383365536
initiated platform,0.07555836152804614
company shall,0.07555836152804614
visit platform,0.07555836152804614
delivery partner,0.07555836152804614
address book,0.07555836152804614
platform may,0.07555836152804614
terms use,0.07555836152804614
information collected,0.07555836152804614
may collect,0.06044668922243691
transaction platform,0.06044668922243691
support dunzo,0.06044668922243691
card account,0.06044668922243691
terms conditions,0.06044668922243691
payment card,0.06044668922243691
including limited,0.06044668922243691
give us,0.06044668922243691
services may,0.06044668922243691
us may,0.06044668922243691
information including,0.04533501691682768
partner may,0.04533501691682768
us information,0.04533501691682768
services platform,0.04533501691682768
applicable terms,0.04533501691682768
share information,0.04533501691682768
company may,0.04533501691682768
order provide,0.04533501691682768
policy shall,0.04533501691682768
may choose,0.04533501691682768
applicable law,0.04533501691682768
process payments,0.04533501691682768
information information,0.04533501691682768
party service,0.04533501691682768
types information,0.04533501691682768
conditions privacy,0.04533501691682768
transaction initiated,0.04533501691682768
ip address,0.04533501691682768
collect information,0.04533501691682768
information provide,0.04533501691682768
users delivery,0.04533501691682768
terms privacy,0.04533501691682768
browser type,0.04533501691682768
business entity,0.04533501691682768
promotion marketing,0.04533501691682768
information required,0.04533501691682768
date time,0.04533501691682768
information personal,0.04533501691682768
disclose personal,0.04533501691682768
withdrawal consent,0.04533501691682768
emails communications,0.04533501691682768
account information,0.04533501691682768
access address,0.04533501691682768
receive information,0.04533501691682768
email address,0.04533501691682768
withdraw consent,0.04533501691682768
platform company,0.030223344611218454
reasonably necessary,0.030223344611218454
protect rights,0.030223344611218454
access use,0.030223344611218454
business partners,0.030223344611218454
telephone numbers,0.030223344611218454
merchants defined,0.030223344611218454
access platform,0.030223344611218454
terms shall,0.030223344611218454
platform including,0.030223344611218454
products services,0.030223344611218454
information web,0.030223344611218454
contact information,0.030223344611218454
contact details,0.030223344611218454
certain types,0.030223344611218454
received stored,0.030223344611218454
relation use,0.030223344611218454
platform access,0.030223344611218454
consultants research,0.030223344611218454
rights property,0.030223344611218454
transferred dealt,0.030223344611218454
transactions platform,0.030223344611218454
transactions initiated,0.030223344611218454
personal otherwise,0.030223344611218454
belief disclosure,0.030223344611218454
merchant delivery,0.030223344611218454
personal safety,0.030223344611218454
transaction details,0.030223344611218454
good faith,0.030223344611218454
customer service,0.030223344611218454
provide collected,0.030223344611218454
provide advertisements,0.030223344611218454
protocol address,0.030223344611218454
grievances dunzo,0.030223344611218454
etc may,0.030223344611218454
internet protocol,0.030223344611218454
information use,0.030223344611218454
information shall,0.030223344611218454
notice changes,0.030223344611218454
posts may,0.030223344611218454
posts platform,0.030223344611218454
improve services,0.030223344611218454
information disclosed,0.030223344611218454
comply conditions,0.030223344611218454
services interest,0.030223344611218454
registered platform,0.030223344611218454
communications us,0.030223344611218454
services provided,0.030223344611218454
information give,0.030223344611218454
company company,0.030223344611218454
policy apply,0.030223344611218454
writing support,0.030223344611218454
portion platform,0.030223344611218454
policy please,0.030223344611218454
company third,0.030223344611218454
company reserves,0.030223344611218454
enforce terms,0.030223344611218454
posts shall,0.030223344611218454
processed disclosed,0.030223344611218454
information platform,0.030223344611218454
information share,0.030223344611218454
payment service,0.030223344611218454
non personal,0.030223344611218454
stored processed,0.030223344611218454
service address,0.030223344611218454
private limited,0.030223344611218454
information provided,0.030223344611218454
collect certain,0.030223344611218454
collectively referred,0.030223344611218454
collect location,0.030223344611218454
service requests,0.030223344611218454
sought platform,0.030223344611218454
information may,0.030223344611218454
collected received,0.030223344611218454
sms details,0.030223344611218454
information internet,0.030223344611218454
legally bound,0.030223344611218454
available platform,0.030223344611218454
parties may,0.030223344611218454
delivery partners,0.030223344611218454
apply information,0.030223344611218454
may ask,0.030223344611218454
disclosure reasonably,0.030223344611218454
defined terms,0.030223344611218454
marketing partners,0.030223344611218454
partners merchants,0.030223344611218454
research firms,0.030223344611218454
location device,0.030223344611218454
disclosed shall,0.030223344611218454
partners consultants,0.030223344611218454
use personal,0.030223344611218454
disclosed transferred,0.030223344611218454
operating system,0.030223344611218454
use cookies,0.030223344611218454
use connection,0.030223344611218454
use applicable,0.030223344611218454
firms business,0.030223344611218454
parties registered,0.030223344611218454
additional information,0.030223344611218454
reserves right,0.030223344611218454
us personal,0.030223344611218454
us platform,0.030223344611218454
financial information,0.030223344611218454
allow undertake,0.030223344611218454
may receive,0.030223344611218454
publicly viewable,0.030223344611218454
purposes company,0.030223344611218454
faith belief,0.030223344611218454
payment gateways,0.030223344611218454
unauthorized access,0.030223344611218454
may disclose,0.030223344611218454
ask provide,0.030223344611218454
may provide,0.030223344611218454
acknowledge agree,0.030223344611218454
unconditional right,0.030223344611218454
unauthorized third,0.030223344611218454
dealt handled,0.030223344611218454
visits platform,0.030223344611218454
policy set,0.015111672305609227
policy time,0.015111672305609227
prescriptions similar,0.015111672305609227
rectification represent,0.015111672305609227
policy sharing,0.015111672305609227
prevent loss,0.015111672305609227
provisions terms,0.015111672305609227
record keeping,0.015111672305609227
purposes privacy,0.015111672305609227
post sole,0.015111672305609227
primarily user,0.015111672305609227
prior pursuing,0.015111672305609227
purpose discretion,0.015111672305609227
refer us,0.015111672305609227
privacy information,0.015111672305609227
policy respond,0.015111672305609227
record calls,0.015111672305609227
privacy practice,0.015111672305609227
privacy privacy,0.015111672305609227
purposes specified,0.015111672305609227
recognize unique,0.015111672305609227
pursuant referral,0.015111672305609227
providing us,0.015111672305609227
rectify update,0.015111672305609227
providing product,0.015111672305609227
public company,0.015111672305609227
preferences tracking,0.015111672305609227
questions concerns,0.015111672305609227
policy users,0.015111672305609227
purpose completing,0.015111672305609227
questions provide,0.015111672305609227
post part,0.015111672305609227
purposes consent,0.015111672305609227
posts mentioned,0.015111672305609227
publish send,0.015111672305609227
problems server,0.015111672305609227
publicly available,0.015111672305609227
posts purpose,0.015111672305609227
possession adhere,0.015111672305609227
practice information,0.015111672305609227
recourse complaints,0.015111672305609227
portions privacy,0.015111672305609227
purpose fulfilling,0.015111672305609227
record required,0.015111672305609227
practices content,0.015111672305609227
publicly accessible,0.015111672305609227
purposes allow,0.015111672305609227
posts event,0.015111672305609227
posting content,0.015111672305609227
public posts,0.015111672305609227
precise location,0.015111672305609227
preference settings,0.015111672305609227
providing offers,0.015111672305609227
reason including,0.015111672305609227
range services,0.015111672305609227
provided pursuant,0.015111672305609227
provided company,0.015111672305609227
provide complete,0.015111672305609227
provided hereunder,0.015111672305609227
provide aggregate,0.015111672305609227
provide additional,0.015111672305609227
provided initiating,0.015111672305609227
protecting unauthorized,0.015111672305609227
provided amount,0.015111672305609227
read harmoniously,0.015111672305609227
protecting privacy,0.015111672305609227
pursuing recourse,0.015111672305609227
reasonable steps,0.015111672305609227
provided us,0.015111672305609227
provided using,0.015111672305609227
provided communicated,0.015111672305609227
provide users,0.015111672305609227
protect us,0.015111672305609227
policy respective,0.015111672305609227
provide reasonable,0.015111672305609227
provide personal,0.015111672305609227
provide mobile,0.015111672305609227
provide merchant,0.015111672305609227
provide location,0.015111672305609227
provide later,0.015111672305609227
provide information,0.015111672305609227
provide us,0.015111672305609227
provide full,0.015111672305609227
provide feedback,0.015111672305609227
reasonable information,0.015111672305609227
provide customer,0.015111672305609227
read privacy,0.015111672305609227
reasonable notice,0.015111672305609227
provider aggregate,0.015111672305609227
protect serve,0.015111672305609227
proceeding transaction,0.015111672305609227
receiving non,0.015111672305609227
rating users,0.015111672305609227
product services,0.015111672305609227
providers promotion,0.015111672305609227
product service,0.015111672305609227
processing delivery,0.015111672305609227
providers purpose,0.015111672305609227
rating order,0.015111672305609227
providers like,0.015111672305609227
provide services,0.015111672305609227
receiving personal,0.015111672305609227
processed accordance,0.015111672305609227
providers supporting,0.015111672305609227
process may,0.015111672305609227
process inquiries,0.015111672305609227
providers payment,0.015111672305609227
profile picture,0.015111672305609227
providers company,0.015111672305609227
protect company,0.015111672305609227
receive feedback,0.015111672305609227
protect personal,0.015111672305609227
protect defend,0.015111672305609227
providers including,0.015111672305609227
protect data,0.015111672305609227
reach kind,0.015111672305609227
property personal,0.015111672305609227
program platform,0.015111672305609227
property company,0.015111672305609227
promotional marketing,0.015111672305609227
receive store,0.015111672305609227
promotional emails,0.015111672305609227
promote safe,0.015111672305609227
prominent notice,0.015111672305609227
quality services,0.015111672305609227
10 company,0.015111672305609227
policy reserve,0.015111672305609227
owners others,0.015111672305609227
parties users,0.015111672305609227
parties third,0.015111672305609227
parties never,0.015111672305609227
parties advertise,0.015111672305609227
part post,0.015111672305609227
part going,0.015111672305609227
pages request,0.015111672305609227
pages posts,0.015111672305609227
page accept,0.015111672305609227
otherwise effort,0.015111672305609227
people refer,0.015111672305609227
otherwise another,0.015111672305609227
others provide,0.015111672305609227
others good,0.015111672305609227
orders legal,0.015111672305609227
ordered task,0.015111672305609227
order status,0.015111672305609227
order process,0.015111672305609227
order enhance,0.015111672305609227
order details,0.015111672305609227
partner merchant,0.015111672305609227
partner merchants,0.015111672305609227
partners affiliated,0.015111672305609227
partners financial,0.015111672305609227
payments respect,0.015111672305609227
payments manage,0.015111672305609227
payment method,0.015111672305609227
payment aggregator,0.015111672305609227
passwords pins,0.015111672305609227
password security,0.015111672305609227
party websites,0.015111672305609227
party website,0.015111672305609227
party rights,0.015111672305609227
party provided,0.015111672305609227
party protect,0.015111672305609227
party platforms,0.015111672305609227
party platform,0.015111672305609227
party payment,0.015111672305609227
party link,0.015111672305609227
party advertising,0.015111672305609227
party access,0.015111672305609227
partners us,0.015111672305609227
partners including,0.015111672305609227
optional may,0.015111672305609227
optional basis,0.015111672305609227
option allow,0.015111672305609227
numbers addresses,0.015111672305609227
number mail,0.015111672305609227
number device,0.015111672305609227
number click,0.015111672305609227
notifying changes,0.015111672305609227
notices changes,0.015111672305609227
notice platform,0.015111672305609227
non promotional,0.015111672305609227
non essential,0.015111672305609227
newsletters please,0.015111672305609227
new combined,0.015111672305609227
never able,0.015111672305609227
network information,0.015111672305609227
negotiation merger,0.015111672305609227
negligence etc,0.015111672305609227
need know,0.015111672305609227
need disclose,0.015111672305609227
need access,0.015111672305609227
necessary respond,0.015111672305609227
necessary enforce,0.015111672305609227
number visits,0.015111672305609227
numbers service,0.015111672305609227
opt receiving,0.015111672305609227
obligation specifically,0.015111672305609227
opt provide,0.015111672305609227
opt company,0.015111672305609227
opportunity opt,0.015111672305609227
opinion company,0.015111672305609227
operating systems,0.015111672305609227
operated maintained,0.015111672305609227
operate services,0.015111672305609227
offices third,0.015111672305609227
officer grievances,0.015111672305609227
office unit,0.015111672305609227
offers surveys,0.015111672305609227
offers available,0.015111672305609227
offered platform,0.015111672305609227
occurrence instance,0.015111672305609227
occur business,0.015111672305609227
obtained withdraw,0.015111672305609227
obtain consent,0.015111672305609227
obtain certain,0.015111672305609227
obligations arising,0.015111672305609227
payments services,0.015111672305609227
permission following,0.015111672305609227
policy regularly,0.015111672305609227
platform sending,0.015111672305609227
platform third,0.015111672305609227
platform terms,0.015111672305609227
platform telecommunication,0.015111672305609227
platform sms,0.015111672305609227
platform sites,0.015111672305609227
platform site,0.015111672305609227
platform share,0.015111672305609227
platform shall,0.015111672305609227
platform server,0.015111672305609227
platform said,0.015111672305609227
permission system,0.015111672305609227
platform respond,0.015111672305609227
platform reserve,0.015111672305609227
referred company,0.015111672305609227
platform relation,0.015111672305609227
platform receive,0.015111672305609227
platform publicly,0.015111672305609227
platform privacy,0.015111672305609227
platform portion,0.015111672305609227
platform play,0.015111672305609227
platform transaction,0.015111672305609227
platform websites,0.015111672305609227
platform writing,0.015111672305609227
platforms may,0.015111672305609227
policy provisions,0.015111672305609227
policy incorporated,0.015111672305609227
policy every,0.015111672305609227
policy disclose,0.015111672305609227
policy continued,0.015111672305609227
policy contacting,0.015111672305609227
policy collection,0.015111672305609227
